text,font_size,is_bold,word_count,size_diff_from_prev,starts_with_numbering,y_position,is_centered,page_num,label
Application form for grant of LTC advance,11.669999999999959,True,7,11.669999999999959,False,0.12707838479809977,True,0,Title
Name of the Government Servant,9.744399999999928,False,5,-1.9256000000000313,False,0.16033254156769597,False,0,paragraph
1.,9.744399999999928,True,1,0.0,True,0.16389548693586697,False,0,paragraph
Designation,9.744399999999928,False,1,0.0,False,0.18171021377672208,False,0,paragraph
2.,9.744399999999928,True,1,0.0,True,0.18527315914489312,False,0,paragraph
Date of entering the Central Government,9.744399999999928,False,6,0.0,False,0.20308788598574823,False,0,paragraph
3.,9.744399999999928,True,1,0.0,True,0.2173396674584323,False,0,paragraph
Service,9.744399999999928,False,1,0.0,False,0.22446555819477435,False,0,paragraph
PAY + SI + NPA,9.744399999999928,False,5,0.0,False,0.24584323040380046,False,0,paragraph
4.,9.744399999999928,True,1,0.0,True,0.2494061757719715,False,0,paragraph
Whether permanent or temporary,9.744399999999928,False,4,0.0,False,0.2672209026128266,False,0,paragraph
5.,9.744399999999928,True,1,0.0,True,0.27078384798099764,False,0,paragraph
6. Home Town as recorded in the Service Book,9.744399999999928,True,9,0.0,True,0.28859857482185275,False,0,paragraph
Whether wife / husband is employed and if,9.744399999999928,False,8,0.0,False,0.3028503562945368,False,0,paragraph
7.,9.744399999999928,True,1,0.0,True,0.3171021377672209,False,0,paragraph
so whether entitled to LTC,9.744399999999928,False,5,0.0,False,0.32422802850356297,False,0,paragraph
Whether the concession is to be availed for,9.744399999999928,False,8,0.0,False,0.34560570071258906,False,0,paragraph
visiting home town and if so block for which,9.744399999999928,False,9,0.0,False,0.3669833729216152,False,0,paragraph
8.,9.744399999999928,True,1,0.0,True,0.37054631828978624,False,0,paragraph
LTC is to be availed.,9.744400000000041,False,5,1.1368683772161603e-13,False,0.38717339667458434,False,0,paragraph
(a) If the concession is to visit anywhere in,9.744400000000041,False,9,0.0,False,0.4085510688836104,False,0,paragraph
"India, the place to be visited.",9.744400000000041,False,6,0.0,False,0.42992874109263657,False,0,paragraph
9.,9.744400000000041,True,1,0.0,True,0.4334916864608076,False,0,paragraph
(b) Block for which to be availed.,9.744400000000041,False,7,0.0,False,0.4501187648456057,False,0,paragraph
Single rail fare/bus fare from the,9.744400000000041,False,6,0.0,False,0.47268408551068886,False,0,paragraph
headquarters to home town/place of visit by,9.744400000000041,False,7,0.0,False,0.49287410926365793,False,0,paragraph
10.,9.744400000000041,True,1,0.0,True,0.49643705463182897,False,0,paragraph
shortest route.,9.744400000000041,False,2,0.0,False,0.5142517814726841,False,0,paragraph
Persons in respect of whom LTC is proposed to be availed.,9.744400000000041,False,11,0.0,False,0.5356294536817102,False,0,paragraph
S.No Name Age Relationship,9.744400000000041,True,4,0.0,False,0.5534441805225653,True,0,paragraph
1.,9.744400000000041,True,1,0.0,True,0.5676959619952494,False,0,paragraph
2.,9.744400000000041,True,1,0.0,True,0.5819477434679335,False,0,paragraph
11.,9.744400000000041,True,1,0.0,True,0.5950118764845606,False,0,paragraph
3.,9.744400000000041,True,1,0.0,True,0.5973871733966746,False,0,paragraph
4.,9.744400000000041,True,1,0.0,True,0.6116389548693587,False,0,paragraph
5.,9.744400000000041,True,1,0.0,True,0.6306413301662708,False,0,paragraph
6.,9.744400000000041,True,1,0.0,True,0.6460807600950119,False,0,paragraph
Amount of advance required. Rs.,9.744400000000041,False,5,0.0,False,0.668646080760095,False,0,paragraph
12.,9.744400000000041,True,1,0.0,True,0.6757719714964371,False,0,paragraph
I declare that the particulars furnished above are true and correct to the best of my knowledge. I,9.744399999999985,False,18,-5.684341886080802e-14,False,0.7114014251781473,True,0,paragraph
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744399999999985,False,17,0.0,False,0.7256532066508313,True,0,paragraph
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744399999999985,False,22,0.0,False,0.7529691211401425,True,0,paragraph
"advance, I undertake to refund the entire advance in one lump sum.",9.744399999999985,False,12,0.0,False,0.7672209026128266,False,0,paragraph
Date,9.744399999999985,True,1,0.0,False,0.8087885985748219,False,0,paragraph
Signature of Government Servant.,9.744399999999985,True,4,0.0,False,0.8230403800475059,False,0,paragraph
Overview,24.0,True,1,24.0,False,0.24242424242424243,True,0,Title
Foundation Level Extensions,24.0,True,3,0.0,False,0.31313131313131315,True,0,Title
Version 1.0,12.0,False,2,-12.0,False,0.48484848484848486,True,0,paragraph
International Software Testing Qualifications Board,18.0,False,5,6.0,False,0.5909090909090909,True,0,paragraph
Copyright Notice,9.960000000000008,False,2,-8.039999999999992,False,0.8244949494949495,False,0,paragraph
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.959999999999994,False,16,-1.4210854715202004e-14,False,0.8396464646464646,True,0,paragraph
International,9.960000000000036,False,1,4.263256414560601e-14,False,0.050505050505050504,False,1,paragraph
Overview,12.0,False,1,2.0399999999999636,False,0.054292929292929296,False,1,paragraph
Software Testing,9.960000000000036,False,2,-2.0399999999999636,False,0.06439393939393939,False,1,paragraph
Foundation Level Extension – Agile Tester,9.960000000000036,False,6,0.0,False,0.07575757575757576,False,1,paragraph
Qualifications Board,9.960000000000036,False,2,0.0,False,0.07954545454545454,False,1,paragraph
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000000000036,False,10,0.0,False,0.1527777777777778,True,1,paragraph
"Version 2014 Page 2 of 12 May 31, 2014",9.96,False,9,-3.552713678800501e-14,False,0.9090909090909091,True,1,paragraph
© International Software Testing Qualifications Board,6.0,False,6,-3.960000000000001,False,0.9318181818181818,False,1,paragraph
International,9.960000000000036,False,1,3.9600000000000364,False,0.050505050505050504,False,2,paragraph
Overview,12.0,False,1,2.0399999999999636,False,0.054292929292929296,False,2,paragraph
Software Testing,9.960000000000036,False,2,-2.0399999999999636,False,0.06439393939393939,False,2,paragraph
Foundation Level Extension – Agile Tester,9.960000000000036,False,6,0.0,False,0.07575757575757576,False,2,paragraph
Qualifications Board,9.960000000000036,False,2,0.0,False,0.07954545454545454,False,2,paragraph
Revision History,15.960000000000036,True,2,6.0,False,0.14015151515151514,False,2,H1
Version Date Remarks,9.960000000000036,True,3,-6.0,False,0.17803030303030304,False,2,paragraph
0.1 18 JUNE 2013 Initial version,9.960000000000036,False,6,0.0,True,0.19318181818181818,False,2,paragraph
0.2 23 JULY 2013 WG reviewed and confirmed,9.960000000000036,False,8,0.0,True,0.20833333333333334,False,2,paragraph
0.3 6 NOV 2013 amended population and diagram,9.960000000000036,False,8,0.0,True,0.22348484848484848,True,2,paragraph
0.7 11 DEC 2013 Amended Business Outcomes and Chapters matching,9.960000000000036,False,10,0.0,True,0.2398989898989899,True,2,paragraph
0.8 20 DEC 2013 Working group updates on 0.7,9.960000000000036,False,9,0.0,True,0.255050505050505,False,2,paragraph
1.0 31 MAY 2014 GA release for Agile Extension,9.960000000000036,False,9,0.0,True,0.2702020202020202,False,2,paragraph
"Version 2014 Page 3 of 12 May 31, 2014",9.960000000000008,False,9,-2.842170943040401e-14,False,0.9090909090909091,True,2,paragraph
© International Software Testing Qualifications Board,6.0,False,6,-3.960000000000008,False,0.9318181818181818,False,2,paragraph
International,9.960000000000036,False,1,3.9600000000000364,False,0.050505050505050504,False,3,paragraph
Overview,12.0,False,1,2.0399999999999636,False,0.054292929292929296,False,3,paragraph
Software Testing,9.960000000000036,False,2,-2.0399999999999636,False,0.06439393939393939,False,3,paragraph
Foundation Level Extension – Agile Tester,9.960000000000036,False,6,0.0,False,0.07575757575757576,False,3,paragraph
Qualifications Board,9.960000000000036,False,2,0.0,False,0.07954545454545454,False,3,paragraph
Table of Contents,15.960000000000036,True,3,6.0,False,0.14015151515151514,False,3,H1
Revision History .......................................................................................................................................... 3,9.960000000000036,True,4,-6.0,False,0.18434343434343434,True,3,paragraph
Table of Contents ........................................................................................................................................ 4,9.960000000000036,True,5,0.0,False,0.2058080808080808,True,3,paragraph
1. Introduction to the Foundation Level Extensions ............................................................................ 6,9.960000000000036,True,9,0.0,True,0.22853535353535354,True,3,paragraph
2. Introduction to Foundation Level Agile Tester Extension ............................................................... 7,9.960000000000036,True,10,0.0,True,0.25,True,3,paragraph
2.1 Intended Audience ..................................................................................................................... 7,9.960000000000036,False,5,0.0,True,0.2727272727272727,True,3,paragraph
2.2 Career Paths for Testers ............................................................................................................ 7,9.960000000000036,False,7,0.0,True,0.2866161616161616,True,3,paragraph
2.3 Learning Objectives ................................................................................................................... 7,9.960000000000036,False,5,0.0,True,0.30176767676767674,True,3,paragraph
2.4 Entry Requirements ................................................................................................................... 8,9.960000000000036,False,5,0.0,True,0.31565656565656564,True,3,paragraph
2.5 Structure and Course Duration ................................................................................................... 8,9.960000000000036,False,7,0.0,True,0.33080808080808083,True,3,paragraph
2.6 Keeping It Current ...................................................................................................................... 9,9.95999999999998,False,6,-5.684341886080802e-14,True,0.3446969696969697,True,3,paragraph
3. Overview of the Foundation Level Extension – Agile Tester Syllabus ......................................... 10,9.95999999999998,True,13,0.0,True,0.36742424242424243,True,3,paragraph
3.1 Business Outcomes ................................................................................................................. 10,9.95999999999998,False,5,0.0,True,0.3888888888888889,True,3,paragraph
3.2 Content .................................................................................................................................... 10,9.95999999999998,False,4,0.0,True,0.40404040404040403,True,3,paragraph
4. References .......................................................................................................................................... 12,9.95999999999998,True,4,0.0,True,0.4255050505050505,True,3,paragraph
4.1 Trademarks ............................................................................................................................. 12,9.95999999999998,False,4,0.0,True,0.44823232323232326,True,3,paragraph
4.2 Documents and Web Sites ....................................................................................................... 12,9.95999999999998,False,7,0.0,True,0.4621212121212121,True,3,paragraph
"Version 2014 Page 4 of 12 May 31, 2014",9.96,False,9,2.1316282072803006e-14,False,0.9090909090909091,True,3,paragraph
© International Software Testing Qualifications Board,6.0,False,6,-3.960000000000001,False,0.9318181818181818,False,3,paragraph
International,9.960000000000036,False,1,3.9600000000000364,False,0.050505050505050504,False,4,paragraph
Overview,12.0,False,1,2.0399999999999636,False,0.054292929292929296,False,4,paragraph
Software Testing,9.960000000000036,False,2,-2.0399999999999636,False,0.06439393939393939,False,4,paragraph
Foundation Level Extension – Agile Tester,9.960000000000036,False,6,0.0,False,0.07575757575757576,False,4,paragraph
Qualifications Board,9.960000000000036,False,2,0.0,False,0.07954545454545454,False,4,paragraph
Acknowledgements,15.960000000000036,False,1,6.0,False,0.14015151515151514,False,4,H1
